name,method,method_link
Activecampaign,Create deal task,https://{{credential.Account}}.api-us1.com/api/3/dealTasks?ownerType=deal
Activecampaign,Find deal by name,https://{{credential.Account}}.api-us1.com/api/3deals
Activecampaign,Find a deal by contact id,https://{{credential.Account}}.api-us1.com/api/3/deals
Activecampaign,Update deal ин id,https://{{credential.Account}}.api-us1.com/api/3/deals/{{data.dealid}}
Eyenewton,Call,https://eyenewton.ru/api/v1/json
Eyenewton,Create Call,https://eyenewton.ru/api/v1/json
Eyenewton,Create Application Request,https://eyenewton.ru/api/v1/json
Eyenewton,Load deal,https://eyenewton.ru/api/v1/json
SMS Aero,Sending an SMS message,https://gate.smsaero.ru/v2/sms/send
ALphaSMS,SMS,https://alphasms.ua/api/json-01a.php
ALphaSMS,Text message to Viber,https://alphasms.ua/api/json-01a.php
ALphaSMS,Text+link to Viber,https://alphasms.ua/api/json-01a.php
ALphaSMS,Text+image to Viber,https://alphasms.ua/api/json-01a.php
Twilio,Send SMS,https://api.twilio.com/2010-04-01/Accounts/{{auth.login}}/Messages.json
SigmaSMS,registration,https://online.sigmasms.ru/api/registration
DaCRM,create a deal,{{credential.webhook}}
PlatformaOFD,Z_Report,https://api.evotor.ru/api/v1/ofd/documents/{{credential.storeId}}
PlatformaOFD,SELL_RETURN,https://api.evotor.ru/api/v1/ofd/documents/0?deviceId=0004492759049741&type=SELL&from=2021-12-07T08:24:01.000Z&to=2021-12-07T09:24:01.000Z
PlatformaOFD,GetDocuments,https://api.evotor.ru/api/v1/ofd/documents/{{credential.storeId}}
EasyWeek,New User Bookings,https://my.easyweek.io/api/ext/user/bookings
EasyWeek,New Bookings,https://my.easyweek.io/api/ext/bookings
SalesDrive,New order,https://goodboysystems.salesdrive.me/handler/
SalesDrive,Add / update goods,https://goodboysystems.salesdrive.me/product-handler/
Convertkit,Add Subscriber to Form,https://api.convertkit.com/v3/forms/{{data.form}}/subscribe
Convertkit,Tag a subscriber,https://api.convertkit.com/v3/tags/{{data.tags}}/subscribe
Convertkit,Add subscriber to a sequence,https://api.convertkit.com/v3/sequences/{{data.sequences}}/subscribe
Convertkit,Create a Purchase,https://api.convertkit.com/v3/purchases
Convertkit,Remove tag from a subscriber by email,https://api.convertkit.com/v3/tags/{{data.tags}}/unsubscribe/
Clickmeeting,New contact,https://api.clickmeeting.com/v1/contacts
Clickmeeting,Register participant,https://api.clickmeeting.com/v1/conferences/{{data.roomid}}/registration
Clickmeeting,Adding new conference room,https://api.clickmeeting.com/v1/conferences
Smsdigital,Send SMS,https://ws.smsdigital.com.br/sms/envio
Planfact,New account,https://api.planfact.io/api/v1/accounts
