name,method,method_link
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,New contact added,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Contact updated,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,New ticket,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,Ticket changed,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,New contact added21312321,аыфвафываф
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,Update note,https://api.hubapi.com/crm/v3/objects/notes/{{data.id}}
HubSpot,Update an object property,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,Update contact,https://api.hubapi.com/crm/v3/objects/contacts/{{data.id}}
HubSpot,Associate a note with another object,https://api.hubapi.com/crm/v3/objects/notes/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Get object properties,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,New deal,https://api.hubapi.com/crm/v3/objects/deals
HubSpot,Create new task,https://api.hubapi.com/crm/v3/objects/tasks
HubSpot,Create new ticket (BETA),https://api.hubapi.com/crm/v3/objects/tickets
HubSpot,Update the deal,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}
HubSpot,Update task,https://api.hubapi.com/crm/v3/objects/tasks/{{data.id}}
HubSpot,Update ticket (BETA),https://api.hubapi.com/crm/v3/objects/ticket/{{data.id}}
HubSpot,Associate a deal with another object,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Associate a task with another object,https://api.hubapi.com/crm/v3/objects/tasks/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Create new note,https://api.hubapi.com/crm/v3/objects/notes
HubSpot,Get a list of contact associations by type,https://api.hubapi.com/crm/v3/objects/contacts/{{data.contactId}}/associations/{{data.toObjectType}}
HubSpot,Find contact,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Send a transactional email,https://api.hubapi.com/marketing/v3/transactional/single-email/send
HubSpot,Find contact,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Create new contact,https://api.hubapi.com/crm/v3/objects/contacts
HubSpot,TEST,https://api.hubapi.com/crm/v3/properties/contacts
test opt,test1,test
test opt,test234,
test opt,test234,
Callibri,New call,https://api.callibri.ru/site_get_statistics
Callibri,New chat,"https://api.callibri.ru/site_get_statistics
https://api.callibri.ru/chat/history?id={{data.id}}"
Callibri,New feedback,https://api.callibri.ru/site_get_statistics
Active,create/updated contact,https://{{credential.Account}}.api-us1.com/api/3/contact/sync
Salesforce TEST,update,{{auth.instanceUrlDomain}}/services/data/v55.0/query
Google Forms,,
Google Forms,,
Google Forms,New answer by form,https://forms.googleapis.com/v1/forms/{{credentialWizard.Formid}}/responses
DEV3666,Test,https://webhook.site/9ff38879-e456-4a4d-beda-863331e2f1e3
DEV3666,Test2,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,Upload statistics on webinars,https://userapi.webinar.ru/v3/stats/events
Webinar,The webinar is completed,https://userapi.webinar.ru/v3/organization/events/schedule
Webinar,The webinar is over. Get participants,"https://userapi.webinar.ru/v3/organization/events/schedule
https://userapi.webinar.ru/v3/eventsessions/{{data.eventSessionsID}}/participations"
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,,
Webinar,Получить сообщения чата,https://userapi.webinar.ru/v3/eventsessions/{{data.eventsessionID}}/chat
Webinar,Получить данные о контакте,https://userapi.webinar.ru/v3/contacts/{{data.contactsID}}
Webinar,Отправить сообщение в чат,https://userapi.webinar.ru/v3/eventsessions/{{data.eventsessionID}}/chat
Webinar,Получить результаты прохождения тестов конкретного участника,https://userapi.webinar.ru/v3/users/{{data.userId}}/tests/stats
Webinar,Обновить контакт,https://userapi.webinar.ru/v3/contacts/{{data.id}}
Webinar,Получить результаты теста,https://userapi.webinar.ru/v3/tests/{{data.testId}}/results
Webinar,Добавить теги к контактам,https://userapi.webinar.ru/v3/contacts/tags/add
Webinar,Выгрузить статистику по участникам,https://userapi.webinar.ru/v3/stats/users
Webinar,Удалить контакт,https://userapi.webinar.ru/v3/contacts/{{data.contactId}}
Webinar,Создать контакт,https://userapi.webinar.ru/v3/users/{{data.userID}}/contacts
Webinar,Получить файл по его идентификатору,https://userapi.webinar.ru/v3/fileSystem/file/{{data.fileID}}
Webinar,Зарегистрировать участника,https://userapi.webinar.ru/v3/eventsessions/{{data.eventsessionID}}/register
Webinar,Выгрузить список участников мероприятия,https://userapi.webinar.ru/v3/eventsessions/{{data.eventsessionID}}/participations
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),Create new contact,https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365 (2),New messages in email,https://graph.microsoft.com/v1.0/me/messages
Microsoft Office 365 (2),Update event in calendar,https://graph.microsoft.com/v1.0/me/events
Microsoft Office 365 (2),Create event in calendar,https://graph.microsoft.com/v1.0/me/events
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),,
Microsoft Office 365 (2),Create contact,https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365 (2),Create draft email,https://graph.microsoft.com/v1.0/me/messages
Microsoft Office 365 (2),Send email,https://graph.microsoft.com/v1.0/me/messages/{{data.id}}/send
Microsoft Office 365 (2),Updates a contact,https://graph.microsoft.com/v1.0/me/contacts/{{data.id}}
Microsoft Office 365 (2),Find a contact by email address(or ID),https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365 (2),Create Event,https://graph.microsoft.com/v1.0/me/calendars/{{data.id}}/events
Tinkoff Business,Get a client's account statement for a certain period,https://business.tinkoff.ru/openapi/api/v1/bank-statement?accountNumber={{data.accountNumber}}&from={{data.from}}&till={{data.till}}
Tinkoff Business,Pay the self-employed. Create a draft of the payment register,https://business.tinkoff.ru/openapi/api/v1/self-employed/payment-registry/create
Tinkoff Business,Get company information,https://business.tinkoff.ru/openapi/api/v1/company
Tinkoff Business,Issue a Tinkoff card to the self-employed. Create a draft application form for issuing a card (residents of Russia),https://business.tinkoff.ru/openapi/api/v1/self-employed/recipients/create
Tinkoff Business,Issue a Tinkoff card to the self-employed. Create a draft application form for issuing a card (non-residents of Russia),https://business.tinkoff.ru/openapi/api/v1/self-employed/recipients/create
Yandex WEBMASTER,test,google.com
test4347v2.0,a1,https://webhook.site/819f07d0-9568-4e33-89a3-89c5c0615623
2test4347v4,a1,https://webhook.site/819f07d0-9568-4e33-89a3-89c5c0615623
3test4347,a1,https://webhook.site/819f07d0-9568-4e33-89a3-89c5c0615623
Описания экшенов,WOW,url.com
integromat,trigger,https://www.ru
integromat,action,https://www.ru
HubSpot,New contact added,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Contact updated,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,New deal added,https://api.hubapi.com/crm/v3/objects/deals/search
HubSpot,Deal updated,https://api.hubapi.com/crm/v3/objects/deals/search
HubSpot,New deal added (Custom fields in row section),https://api.hubapi.com/crm/v3/objects/deals/search
HubSpot,Deal updated (Custom fields in row section),https://api.hubapi.com/crm/v3/objects/deals/search
HubSpot,New ticket,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,Ticket changed,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,New Company,https://api.hubapi.com/crm/v3/objects/companies/search
HubSpot,Company changed,https://api.hubapi.com/crm/v3/objects/companies/search
HubSpot,Create new Contact,https://api.hubapi.com/crm/v3/objects/contacts
HubSpot,Update Contact,https://api.hubapi.com/crm/v3/objects/contacts/{{data.id}}
HubSpot,Get a Contact by ID,https://api.hubapi.com/crm/v3/objects/contacts/{{data.id}}
HubSpot,Find Contact,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Get a List of Contact associations by Type,https://api.hubapi.com/crm/v3/objects/contacts/{{data.contactId}}/associations/{{data.toObjectType}}
HubSpot,New Deal,https://api.hubapi.com/crm/v3/objects/deals
HubSpot,Update the Deal,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}
HubSpot,Find Deals,https://api.hubapi.com/crm/v3/objects/deals/search
HubSpot,Get a List of Deal associations by Type,https://api.hubapi.com/crm/v3/objects/deals/{{data.contactId}}/associations/{{data.toObjectType}}
HubSpot,Associate a Deal with another Object,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Create new Task,https://api.hubapi.com/crm/v3/objects/tasks
HubSpot,Update Task,https://api.hubapi.com/crm/v3/objects/tasks/{{data.id}}
HubSpot,Associate a Task with another Object,https://api.hubapi.com/crm/v3/objects/tasks/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Create new Ticket (BETA),https://api.hubapi.com/crm/v3/objects/tickets
HubSpot,Update Ticket (BETA),https://api.hubapi.com/crm/v3/objects/ticket/{{data.id}}
HubSpot,Create new Note,https://api.hubapi.com/crm/v3/objects/notes
HubSpot,Update Note,https://api.hubapi.com/crm/v3/objects/notes/{{data.id}}
HubSpot,Associate a Note with another Object,https://api.hubapi.com/crm/v3/objects/notes/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Get Object properties,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,Update an object property,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,Send a transactional email,https://api.hubapi.com/marketing/v3/transactional/single-email/send
HubSpot,Submit data to a form,https://api.hsforms.com/submissions/v3/integration/secure/submit/{{data.portalId}}/{{credentialWizard.formsWiz}}
HubSpot,Company search,https://api.hubapi.com/crm/v3/objects/companies/search
HubSpot,Get the pipeline of an object by ID,https://api.hubapi.com/crm/v3/pipelines/{{data.objectType}}/{{data.pipelineId}}
HubSpot,Get the pipeline stage of an object by ID,https://api.hubapi.com/crm/v3/pipelines/{{data.objectType}}/{{data.pipelineId}}/stages/{{data.stageId}}
HubSpot,Link items of goods\/services to a deal,https://api.hubapi.com/crm/v3/objects/line_items/batch/create
HubSpot,Product Search,https://api.hubapi.com/crm/v3/objects/products/search
DEV4440,test 1,
DEV4440,test 1,https://webhook.site/1e758d17-abf7-4042-97df-1917f7e7d3f3
4440,test ,
Сервис просто паблик,Супер действие,https://www.superapi.com/v3/kek
Сервис просто паблик,второе действие,https://www.superapi.com/v2/cheburek
Сервис просто паблик,другой урл,https://www.analogurl.com/v3/kek
Паблик + приватка,Супер действие,https://www.superapi.com/v3/kek
Паблик + приватка,второе действие,https://www.superapi.com/v2/cheburek
Паблик + приватка,другой урл,https://www.analogurl.com/v3/kek
Паблик + домен + системВар,Экшн1,{{credential.domain}}endpoint/
Паблик + домен + системВар,Экшн2,{{credential.domain}}endpoint2/
SendPulse,New contact,https://api.sendpulse.com/addressbooks/{{credentialWizard.addressBookId}}/emails
SendBox,New contact,https://mailer-api.i.bizml.ru/addressbooks/{{credentialWizard.addressBookId}}/emails
2test4490,2act4490,
InSales,Contact updated,{{credential.domain}}/admin/clients.json
InSales,new client,{{credential.domain}}/admin/clients.json
InSales,New order,"{{credential.domain}}/admin/orders.json
{{credential.domain}}/admin/orders/{{data.orderId}}.json"
InSales,Update order by ID,"{{credential.domain}}/admin/orders/{{data.orderId}}.json
{{credential.domain}}/admin/orders/{{data.orderId}}.json"
Mango Office,New deal,https://widgets-api.mango-office.ru/v1/calltracking/{{data.widgetId}}/deals/albato
Mango Office,Call notification,https://widgets-api.mango-office.ru/v1/calltracking/externalCall
Mango Office,Route a call,https://app.mango-office.ru/vpbx/commands/route
Mango Office,Create a client,https://app.mango-office.ru/vpbx/ab/contacts/create
Mango Office,Update client,https://app.mango-office.ru/vpbx/ab/contacts/update
Mango Office,Make a call,https://app.mango-office.ru/vpbx/commands/callback
Mango Office,Make a call on behalf of a group,https://app.mango-office.ru/vpbx/commands/callback_group
Mango Office Contact Center,Create a task in the call center,https://app.mango-office.ru/cc/task/add
Mango Office Contact Center,Find contact,https://app.mango-office.ru/vpbx/ab/contact/init
Mango Office Contact Center,Add a task to an outgoing call campaign,https://app.mango-office.ru/vpbx/tasks/push
UniOne,Send a email via a template,{{credential.domain}}/en/transactional/api/v1/email/send.json
UniOne,Send Email,{{credential.domain}}/en/transactional/api/v1/email/send.json
UniOne,Creates or Updates an Email Template,{{credential.domain}}/en/transactional/api/v1/template/set.json
Slack NEW,Send a message to a public channel,https://slack.com/api/chat.postMessage
Slack NEW,Send a message to a private channel,https://slack.com/api/chat.postMessage
Slack NEW,Send a private message to a user,https://slack.com/api/chat.postMessage
Slack NEW,Set a conversation topic in a public channel,https://slack.com/api/conversations.setTopic
Slack NEW,Invite a user to a public channel,https://slack.com/api/conversations.invite
Slack NEW,Plans to send a message to a public Slack channel,https://slack.com/api/chat.scheduleMessage
Slack NEW,Find a user by Email,https://slack.com/api/users.lookupByEmail
Slack NEW,Find a user by ID,https://slack.com/api/users.profile.get
Slack NEW,Schedule a message to be sent to a private channel,https://slack.com/api/chat.scheduleMessage
Slack NEW,Send a private message to the user in a private channel,https://slack.com/api/chat.postEphemeral
Slack NEW,Set a conversation topic in a private Slack channel,https://slack.com/api/conversations.setTopic
Slack NEW,Send a private message to a user in a public channel,https://slack.com/api/chat.postEphemeral
Slack NEW,Create a post\/file on a public Slack channel,https://slack.com/api/files.upload
Slack NEW,Create a post\/file on a private Slack channel,https://slack.com/api/files.upload
Slack NEW,Create Channel DELETE,https://slack.com/api/Schema.slack.functions.CreateChannel
test4947,act,https://webhook.site/525b6a4e-2b43-4d4b-a781-e7b9d0073a91
2test4947,act,https://webhook.site/525b6a4e-2b43-4d4b-a781-e7b9d0073a91
3test4947,act,https://webhook.site/525b6a4e-2b43-4d4b-a781-e7b9d0073a91
Sellix,Order Cancelled,https://dev.sellix.io/v1/orders
Sellix,Order Completed,https://dev.sellix.io/v1/orders
Sellix,Create a Product,https://dev.sellix.io/v1/products
Sellix,Update a Product,https://dev.sellix.io/v1/products/{{data.data_uniqid}}
Sellix,Search Product by ID,https://dev.sellix.io/v1/products/{{data.id}}
Sellix,Create Customer,https://dev.sellix.io/v1/customers
Sellix,Update Customer,https://dev.sellix.io/v1/customers/{{data.data_uniqid}}
Sellix,Search Customer by ID,https://dev.sellix.io/v1/customers/{{data.CUSTOMER_ID}}
Sellix,Create a Subscription,https://dev.sellix.io/v1/subscriptions
Sellix,Get a Subscription by ID,https://dev.sellix.io/v1/subscriptions/{{data.uniqid}}
Sellix,Create a Payment,https://dev.sellix.io/v1/payments
Megaplan,New message,{{credential.domain}}/api/v3/message
Megaplan,New client (company),{{credential.domain}}/api/v3/contractorCompany
Megaplan,Update Client (company),{{credential.domain}}/api/v3/contractorCompany/{{data.id}}
Megaplan,Get a client (company) by ID,{{credential.domain}}/api/v3/contractorCompany/{{data.id}}
Megaplan,Customer Search (company),"{{credential.domain}}/api/v3/contractorCompany/search?{""q"":""{{data.q}}""}"
Megaplan,New client (person),{{credential.domain}}/api/v3/contractorHuman
Megaplan,Update client (person),{{credential.domain}}/api/v3/contractorHuman/{{data.id}}
Megaplan,Get a client (person) by ID,{{credential.domain}}/api/v3/contractorHuman/{{data.id}}
Megaplan,Customer search (person),"{{credential.domain}}/api/v3/contractorHuman/search?{""q"": ""{{data.q}}""}"
Megaplan,Add a new product,{{credential.domain}}/api/v3/offer
Megaplan,Product Update,{{credential.domain}}/api/v3/offer/{{data.id}}
Megaplan,New deal,{{credential.domain}}/api/v3/deal
Megaplan,Update the deal,"{{credential.domain}}/api/v3/deal/{{data.id}}
{{credential.domain}}/api/v3/deal/{{data.id}}/applyTransition"
Megaplan,Get a deal by ID,{{credential.domain}}/api/v3/deal/{{data.id}}
Megaplan,Search for a deal,"{{credential.domain}}/api/v3/deal/search?{""q"":""{{data.q}}""}"
Megaplan,Search for a duplicate client (company) by ID,{{credential.domain}}/api/v3/contractorCompany/{{data.id}}/possibleDuplicates
Megaplan,Search for a duplicate client (person) by ID,{{credential.domain}}/api/v3/contractorHuman/{{data.id}}/possibleDuplicates
Megaplan,Create Todo,{{credential.domain}}/api/v3/todo
Megaplan,Send a message,{{credential.domain}}/api/v3/message/send
1234,test,test
1234,test,test
Vivantio,Create Ticket,{{credential.url}}/api/Ticket/Insert
Vivantio,Adds a Note to a Ticket,{{credential.url}}/api/Ticket/AddNote
Vivantio,Update Ticket,{{credential.url}}/api/Ticket/Update
Vivantio,Accepts the specified Ticket,{{credential.url}}/api/Ticket/Accept
Vivantio,Change Ticket Owner,{{credential.url}}/api/Ticket/ChangeOwner
Vivantio,Change Ticket Priority,{{credential.url}}/api/Ticket/ChangePriority
Vivantio,Change Ticket Status,{{credential.url}}/api/Ticket/ChangeStatus
Vivantio,Change Ticket Category,{{credential.url}}/api/Ticket/ReCategorize
Vivantio,Find Ticket by ID,{{credential.url}}/api/Ticket/SelectById/{{data.Id}}
Vivantio,Search Ticket,{{credential.url}}/api/Ticket/Select
Vivantio,Close Ticket,{{credential.url}}/api/Ticket/Close
Vivantio,Create Article,{{credential.url}}/api/Article/Insert
Vivantio,Update Article,{{credential.url}}/api/Article/Update
Vivantio,Create or Update Asset,{{credential.url}}/api/Asset/InsertUpdate
Vivantio,Search Asset,{{credential.url}}/api/Asset/Select
Vivantio,Delete Asset,{{credential.url}}/api/Asset/Delete
Vivantio,Create Client,{{credential.url}}/api/Client/Insert
Vivantio,Update Client,{{credential.url}}/api/Client/Update
Vivantio,Create or Update Client,{{credential.url}}/api/Client/InsertUpdate
Vivantio,Search Client,{{credential.url}}/api/Client/Select
Vivantio,Create Caller,{{credential.url}}/api/Caller/Insert
Vivantio,Update Caller,{{credential.url}}/api/Caller/Update
Vivantio,Create or Update Caller,{{credential.url}}/api/Caller/InsertUpdate
Vivantio,Search Caller,{{credential.url}}/api/Caller/Select
Vivantio,Delete Caller ,{{credential.url}}/api/Caller/Delete
Vivantio,Create or Update Location,{{credential.url}}/api/Location/InsertUpdate
Vivantio,Search Location,{{credential.url}}/api/Location/Select
test5137,action,
3test5137en,act-en,
ClickUp,Create a task,https://api.clickup.com/api/v2/list/{{credentialWizard.wizardList}}/task
ClickUp,Create a subtask,https://api.clickup.com/api/v2/list/{{credentialWizard.wizardList}}/task
ClickUp,Search for a task by ID,https://api.clickup.com/api/v2/task/{{data.id}}
ClickUp,Get Task Comments,https://api.clickup.com/api/v2/task/{{data.taskId}}/comment
ClickUp,Create folder,https://api.clickup.com/api/v2/space/{{credentialWizard.space}}/folder
ClickUp,Create list,https://api.clickup.com/api/v2/folder/{{credentialWizard.folder}}/list
ClickUp,Create checklist,https://api.clickup.com/api/v2/task/{{data.task_id}}/checklist?custom_task_ids={{data.custom_task_ids}}&team_id={{data.team_id}}
ClickUp,Create task comment,https://api.clickup.com/api/v2/task/{{data.task_id}}/comment
ClickUp,Add time tracking to a task,https://api.clickup.com/api/v2/task/{{data.task_id}}/time
Test new deploy partners!,test,https://webhook.site/7c8f5f42-cc57-42f5-82db-94ae3f455915
Test new deploy partners!,NEW ACTION,url.com
Test new deploy partners!,NEW ACTION2,url.com
share plus deploy,test,url.com
share plus deploy,new,url.com
test1,action3,
test1,action2,
test1,action1,https://webhook.site/df286e01-8933-4c89-8e69-040f7d440d4b
Kanban Zone,Create Card,https://integrations.kanbanzone.io/v1/card
Kanban Zone,Update Card,https://integrations.kanbanzone.io/v1/card/{{data.number}}
Kanban Zone,Move Card,https://integrations.kanbanzone.io/v1/card/{{data.number}}/move
Kanban Zone,Search Column by Title,https://integrations.kanbanzone.io/v1/board/{{data.board}}/columns
test0001,триггер3,
test0001,триггер2,
test0001,экшен1,
test0001,экшен2,
test0001,экшен3,
Knack,Get Records (Data Migration),
Knack,Create Record,{{credential.domain}}/objects/{{credentialWizard.object}}/records
Knack,Update Record,{{credential.domain}}/objects/{{credentialWizard.object}}/records/{{data.id}}
Knack,Delete Record,{{credential.domain}}/objects/{{credentialWizard.object}}/records/{{data.id}}
Knack,Search for Record IDs,{{credential.domain}}/objects/{{credentialWizard.object}}/records
Knack,Search for a single record,{{credential.domain}}/objects/{{credentialWizard.object}}/records
Knack,Search for multiple records,{{credential.domain}}/objects/{{credentialWizard.object}}/records
Knack,Upload File,{{credential.domain}}/applications/{{auth.id}}/assets/file/upload
test_service,test,https://api.randomdatatools.ru/
сервис 21,триггер2,https://new-test.albato.ru/builder/constructor/11062/1316/triggers/10024103/requests
сервис 21,действие1,https://new-test.albato.ru/builder/constructor/11062/1316/actions/10026412/requests
new1,действие,https://api.albato.com/user/auth
UniSender,Download contact list,"https://api.unisender.com/ru/api/async/exportContacts?platform=albato
https://api.unisender.com/ru/api/async/getTaskResult?platform=albato
{{data.file}}?platform=albato"
UniSender,Add a new contact,https://api.unisender.com/ru/api/subscribe?platform=albato
UniSender,Sending a single email (transactional),https://api.unisender.com/ru/api/sendEmail
UniSender,Sending a single SMS (transactional),https://api.unisender.com/ru/api/sendSms
UniSender,Create an Email newsletter,https://api.unisender.com/ru/api/createEmailMessage?platform=albato
UniSender,Send a previously created Email newsletter,https://api.unisender.com/ru/api/createCampaign?platform=albato
UniSender,Create an SMS newsletter,https://api.unisender.com/ru/api/createSmsMessage
UniSender,Send a previously created SMS newsletter,https://api.unisender.com/ru/api/createCampaign?platform=albato
UniSender,Exclude a contact from one or more lists,https://api.unisender.com/ru/api/exclude?platform=albato
UniSender,Unsubscribe the recipient from the mailing list,https://api.unisender.com/ru/api/unsubscribe?platform=albato
UniSender,Get contact information by Email,https://api.unisender.com/en/api/getContact?platform=albato
UniSender,Create a new contact list,https://api.unisender.com/ru/api/createList?platform=albato
UniSender,Change list properties,https://api.unisender.com/ru/api/updateList
UniSender,Delete Contact List,https://api.unisender.com/ru/api/deleteList
UniSender,Get email status,https://api.unisender.com/ru/api/checkEmail
Selzy ,Download contact list,"https://api.selzy.com/en/api/async/exportContacts?platform=albato
https://api.selzy.com/en/api/async/getTaskResult?platform=albato
{{data.file}}?platform=albato"
Selzy ,Add a new contact,https://api.selzy.com/en/api/subscribe?platform=albato
